subject	set_name	measure	direct_contrast_nps	paired_condition_nps	contrast	difference_direct_minus_paired	same_sign
sub-32	main	signature_dot	-0.2174999117851257	-0.0975847989320754	up_minus_passive	-0.1199151128530503	True
sub-33	main	signature_dot	-0.508894681930542	-0.3909446746110916	up_minus_passive	-0.11795000731945038	True
sub-01	main	signature_weighted_mean	-0.0175188778727962	-0.0154110941233619	down_minus_passive	-0.002107783749434298	True
sub-02	main	signature_weighted_mean	-0.0036345116144083	-0.0018518215854467	down_minus_passive	-0.0017826900289615998	True
sub-03	main	signature_weighted_mean	-0.0023778324876289	-0.0056861510640159	down_minus_passive	0.003308318576387	True
sub-04	main	signature_weighted_mean	-0.0086833666094842	-0.0030586629058472	down_minus_passive	-0.005624703703637001	True
sub-05	main	signature_weighted_mean	0.0017249164890695	-0.0015447861413241	down_minus_passive	0.0032697026303936	False
sub-06	main	signature_weighted_mean	-0.0125447106302421	-0.0216599832676934	down_minus_passive	0.009115272637451299	True
sub-07	main	signature_weighted_mean	-0.0105121221827605	-0.0037157514848978	down_minus_passive	-0.006796370697862699	True
sub-08	main	signature_weighted_mean	-0.0021202629772386	-0.0043562059943136	down_minus_passive	0.0022359430170750005	True
sub-09	main	signature_weighted_mean	-0.0056337366771981	-0.0084237150437538	down_minus_passive	0.0027899783665556992	True
sub-10	main	signature_weighted_mean	-0.000874463402633	-0.0011505973005346	down_minus_passive	0.0002761338979016	True
sub-11	main	signature_weighted_mean	-0.0036797308168509	-0.0035435325798869	down_minus_passive	-0.00013619823696399977	True
sub-12	main	signature_weighted_mean	0.0015871272060936	0.0011447045493652	down_minus_passive	0.0004424226567284	True
sub-13	main	signature_weighted_mean	0.006567003740514	0.0037081555026725	down_minus_passive	0.0028588482378415	True
sub-14	main	signature_weighted_mean	-0.009987628655215	-0.0113611865398034	down_minus_passive	0.0013735578845884	True
sub-15	main	signature_weighted_mean	-0.0044001457758673	-0.0038555577015535	down_minus_passive	-0.0005445880743138003	True
sub-16	main	signature_weighted_mean	-0.0094487159935233	-0.0113082588504756	down_minus_passive	0.0018595428569522995	True
sub-17	main	signature_weighted_mean	-0.0021148376637536	-3.02893227105e-05	down_minus_passive	-0.0020845483410431	True
sub-18	main	signature_weighted_mean	-2.7516018924838376e-05	0.0036338966741659	down_minus_passive	-0.003661412693090738	False
sub-19	main	signature_weighted_mean	-0.0146444797011319	-0.0188841941518277	down_minus_passive	0.0042397144506958005	True
sub-20	main	signature_weighted_mean	-0.0026306127194004	-0.0121888347399415	down_minus_passive	0.0095582220205411	True
sub-21	main	signature_weighted_mean	0.0026025610248798	0.0068792163166776	down_minus_passive	-0.0042766552917978	True
sub-22	main	signature_weighted_mean	-0.0050700570095885	-0.0073716914016001	down_minus_passive	0.0023016343920115997	True
sub-23	main	signature_weighted_mean	-0.0060555076973233	-0.0026888191785016	down_minus_passive	-0.0033666885188216996	True
sub-24	main	signature_weighted_mean	-0.007388148404242	-0.0020236730924281	down_minus_passive	-0.0053644753118139	True
sub-25	main	signature_weighted_mean	-0.0133805908474718	-0.0120079151016928	down_minus_passive	-0.0013726757457790013	True
sub-26	main	signature_weighted_mean	-0.0056023114409629	-0.0063304175876749	down_minus_passive	0.0007281061467119994	True
sub-27	main	signature_weighted_mean	-0.0066760559135067	-0.0056098735439442	down_minus_passive	-0.0010661823695625001	True
sub-28	main	signature_weighted_mean	0.000460528236174	-0.0013099684610574	down_minus_passive	0.0017704966972314	False
sub-29	main	signature_weighted_mean	0.0035921494550151	0.003128698654612	down_minus_passive	0.00046345080040309993	True
sub-30	main	signature_weighted_mean	-0.0147238338401088	-0.009456141940297	down_minus_passive	-0.005267691899811801	True
sub-31	main	signature_weighted_mean	-0.0128438068250808	-0.0158314590749521	down_minus_passive	0.0029876522498712994	True
sub-32	main	signature_weighted_mean	-0.0004106160392851	0.000190409022759	down_minus_passive	-0.0006010250620441	False
sub-33	main	signature_weighted_mean	0.0067331705660236	0.0116883967541874	down_minus_passive	-0.004955226188163801	True
sub-01	main	signature_dot	-1.633535385131836	-1.436996579170227	down_minus_passive	-0.1965388059616089	True
sub-02	main	signature_dot	-0.3388974666595459	-0.1726717948913578	down_minus_passive	-0.1662256717681881	True
sub-03	main	signature_dot	-0.2217193096876144	-0.5302011370658875	down_minus_passive	0.308481827378273	True
sub-04	main	signature_dot	-0.8096743822097778	-0.2852028608322143	down_minus_passive	-0.5244715213775635	True
sub-05	main	signature_dot	0.1608386188745498	-0.1440424919128418	down_minus_passive	0.3048811107873916	False
sub-06	main	signature_dot	-1.1697226762771606	-2.019669830799103	down_minus_passive	0.8499471545219421	True
sub-07	main	signature_dot	-0.98019540309906	-0.3464726209640503	down_minus_passive	-0.6337227821350097	True
sub-08	main	signature_dot	-0.1977024227380752	-0.406191349029541	down_minus_passive	0.20848892629146581	True
sub-09	main	signature_dot	-0.5253137946128845	-0.7854633554816246	down_minus_passive	0.2601495608687401	True
sub-10	main	signature_dot	-0.0815387219190597	-0.1072866320610046	down_minus_passive	0.0257479101419449	True
